w  L  F   dF   ddF gamma2
0.000000000000000000e+00  4.000000000000000000e+00  0.000000000000000000e+00  1.307800000000000074e+00  -2.000000000000000000e+00  -1.000000000000000000e+00
1.000000000000000021e-02  3.979999999999999982e+00  1.299999999999999940e-02  1.287700000000000067e+00  -2.012799999999999923e+00  -1.000000000000000000e+00
2.000000000000000042e-02  3.959999999999999964e+00  2.580000000000000002e-02  1.267600000000000060e+00  -2.024900000000000144e+00  -1.000000000000000000e+00
2.999999999999999889e-02  3.939999999999999947e+00  3.830000000000000071e-02  1.247200000000000086e+00  -2.036500000000000199e+00  -1.000000000000000000e+00
4.000000000000000083e-02  3.919999999999999929e+00  5.070000000000000201e-02  1.226799999999999891e+00  -2.047400000000000109e+00  -1.000000000000000000e+00
5.000000000000000278e-02  3.899999999999999911e+00  6.289999999999999758e-02  1.206299999999999928e+00  -2.057799999999999851e+00  -1.000000000000000000e+00
5.999999999999999778e-02  3.879999999999999893e+00  7.480000000000000537e-02  1.185699999999999976e+00  -2.067499999999999893e+00  -1.000000000000000000e+00
7.000000000000000666e-02  3.859999999999999876e+00  8.659999999999999643e-02  1.165000000000000036e+00  -2.076499999999999790e+00  -1.000000000000000000e+00
8.000000000000000167e-02  3.839999999999999858e+00  9.810000000000000664e-02  1.144099999999999895e+00  -2.084900000000000198e+00  -1.000000000000000000e+00
8.999999999999999667e-02  3.819999999999999840e+00  1.095000000000000001e-01  1.123299999999999965e+00  -2.092699999999999783e+00  -1.000000000000000000e+00
1.000000000000000056e-01  3.799999999999999822e+00  1.205999999999999989e-01  1.102300000000000058e+00  -2.099899999999999878e+00  -1.000000000000000000e+00
1.100000000000000006e-01  3.779999999999999805e+00  1.315000000000000058e-01  1.081299999999999928e+00  -2.106399999999999828e+00  -1.000000000000000000e+00
1.199999999999999956e-01  3.759999999999999787e+00  1.421999999999999931e-01  1.060200000000000031e+00  -2.112200000000000077e+00  -1.000000000000000000e+00
1.300000000000000044e-01  3.740000000000000213e+00  1.527000000000000024e-01  1.038999999999999924e+00  -2.117399999999999949e+00  -1.000000000000000000e+00
1.400000000000000133e-01  3.720000000000000195e+00  1.630000000000000060e-01  1.017800000000000038e+00  -2.121999999999999886e+00  -1.000000000000000000e+00
1.499999999999999944e-01  3.700000000000000178e+00  1.731000000000000039e-01  9.966000000000000414e-01  -2.125900000000000123e+00  -1.000000000000000000e+00
1.600000000000000033e-01  3.680000000000000160e+00  1.829000000000000070e-01  9.752999999999999448e-01  -2.129199999999999982e+00  -1.000000000000000000e+00
