w  L  F   dF   ddF gamma2
0.000000000000000000e+00  1.000000000000000000e+01  0.000000000000000000e+00  1.683200000000000029e+00  -8.333000000000000407e-01  -8.610999999999999766e-01
1.000000000000000021e-02  9.980000000000000426e+00  1.679999999999999896e-02  1.674800000000000066e+00  -8.346999999999999975e-01  -8.610999999999999766e-01
2.000000000000000042e-02  9.960000000000000853e+00  3.350000000000000200e-02  1.666500000000000092e+00  -8.360999999999999543e-01  -8.610999999999999766e-01
2.999999999999999889e-02  9.939999999999999503e+00  5.009999999999999870e-02  1.658099999999999907e+00  -8.374000000000000332e-01  -8.610999999999999766e-01
4.000000000000000083e-02  9.919999999999999929e+00  6.669999999999999540e-02  1.649699999999999944e+00  -8.387999999999999901e-01  -8.610999999999999766e-01
5.000000000000000278e-02  9.900000000000000355e+00  8.309999999999999332e-02  1.641299999999999981e+00  -8.400999999999999579e-01  -8.610999999999999766e-01
5.999999999999999778e-02  9.880000000000000782e+00  9.950000000000000511e-02  1.632900000000000018e+00  -8.414000000000000368e-01  -8.610999999999999766e-01
7.000000000000000666e-02  9.859999999999999432e+00  1.158000000000000002e-01  1.624500000000000055e+00  -8.426000000000000156e-01  -8.610999999999999766e-01
8.000000000000000167e-02  9.839999999999999858e+00  1.320000000000000062e-01  1.616100000000000092e+00  -8.438999999999999835e-01  -8.610999999999999766e-01
8.999999999999999667e-02  9.820000000000000284e+00  1.481000000000000094e-01  1.607599999999999918e+00  -8.450999999999999623e-01  -8.610999999999999766e-01
1.000000000000000056e-01  9.800000000000000711e+00  1.640999999999999959e-01  1.599199999999999955e+00  -8.463000000000000522e-01  -8.610999999999999766e-01
1.100000000000000006e-01  9.779999999999999361e+00  1.801000000000000101e-01  1.590700000000000003e+00  -8.475000000000000311e-01  -8.610999999999999766e-01
1.199999999999999956e-01  9.759999999999999787e+00  1.958999999999999908e-01  1.582200000000000051e+00  -8.486000000000000210e-01  -8.610999999999999766e-01
1.300000000000000044e-01  9.740000000000000213e+00  2.116999999999999993e-01  1.573700000000000099e+00  -8.497999999999999998e-01  -8.610999999999999766e-01
1.400000000000000133e-01  9.720000000000000639e+00  2.273999999999999910e-01  1.565199999999999925e+00  -8.508999999999999897e-01  -8.610999999999999766e-01
1.499999999999999944e-01  9.699999999999999289e+00  2.429999999999999938e-01  1.556699999999999973e+00  -8.519999999999999796e-01  -8.610999999999999766e-01
1.600000000000000033e-01  9.679999999999999716e+00  2.585999999999999965e-01  1.548200000000000021e+00  -8.530999999999999694e-01  -8.610999999999999766e-01
1.700000000000000122e-01  9.660000000000000142e+00  2.740000000000000213e-01  1.539700000000000069e+00  -8.540999999999999703e-01  -8.610999999999999766e-01
1.799999999999999933e-01  9.640000000000000568e+00  2.893000000000000016e-01  1.531099999999999905e+00  -8.551999999999999602e-01  -8.610999999999999766e-01
1.900000000000000022e-01  9.619999999999999218e+00  3.045999999999999819e-01  1.522599999999999953e+00  -8.561999999999999611e-01  -8.610999999999999766e-01
2.000000000000000111e-01  9.599999999999999645e+00  3.197999999999999732e-01  1.514000000000000012e+00  -8.570999999999999730e-01  -8.610999999999999766e-01
