w  L  F   dF   ddF gamma2
0.000000000000000000e+00  1.000000000000000000e+01  0.000000000000000000e+00  3.840500000000000025e+00  -2.000000000000000000e+00  -4.000000000000000000e+00
1.000000000000000021e-02  9.980000000000000426e+00  3.830000000000000071e-02  3.820500000000000007e+00  -2.007600000000000051e+00  -4.000000000000000000e+00
2.000000000000000042e-02  9.960000000000000853e+00  7.639999999999999569e-02  3.800300000000000011e+00  -2.015099999999999891e+00  -4.000000000000000000e+00
2.999999999999999889e-02  9.939999999999999503e+00  1.142999999999999988e-01  3.780199999999999783e+00  -2.022499999999999964e+00  -4.000000000000000000e+00
4.000000000000000083e-02  9.919999999999999929e+00  1.519999999999999962e-01  3.759900000000000020e+00  -2.029799999999999827e+00  -4.000000000000000000e+00
5.000000000000000278e-02  9.900000000000000355e+00  1.895000000000000018e-01  3.739599999999999813e+00  -2.036900000000000155e+00  -4.000000000000000000e+00
5.999999999999999778e-02  9.880000000000000782e+00  2.268000000000000016e-01  3.719199999999999839e+00  -2.043899999999999828e+00  -4.000000000000000000e+00
7.000000000000000666e-02  9.859999999999999432e+00  2.639000000000000234e-01  3.698700000000000099e+00  -2.050800000000000178e+00  -4.000000000000000000e+00
8.000000000000000167e-02  9.839999999999999858e+00  3.008000000000000118e-01  3.678100000000000147e+00  -2.057500000000000107e+00  -4.000000000000000000e+00
8.999999999999999667e-02  9.820000000000000284e+00  3.375000000000000222e-01  3.657500000000000195e+00  -2.064200000000000035e+00  -4.000000000000000000e+00
1.000000000000000056e-01  9.800000000000000711e+00  3.739000000000000101e-01  3.636899999999999800e+00  -2.070699999999999985e+00  -4.000000000000000000e+00
1.100000000000000006e-01  9.779999999999999361e+00  4.102000000000000091e-01  3.616099999999999870e+00  -2.077100000000000168e+00  -4.000000000000000000e+00
1.199999999999999956e-01  9.759999999999999787e+00  4.461999999999999855e-01  3.595299999999999940e+00  -2.083299999999999930e+00  -4.000000000000000000e+00
1.300000000000000044e-01  9.740000000000000213e+00  4.820999999999999730e-01  3.574500000000000011e+00  -2.089500000000000135e+00  -4.000000000000000000e+00
1.400000000000000133e-01  9.720000000000000639e+00  5.177000000000000490e-01  3.553500000000000103e+00  -2.095499999999999918e+00  -4.000000000000000000e+00
1.499999999999999944e-01  9.699999999999999289e+00  5.532000000000000250e-01  3.532500000000000195e+00  -2.101300000000000168e+00  -4.000000000000000000e+00
1.600000000000000033e-01  9.679999999999999716e+00  5.884000000000000341e-01  3.511499999999999844e+00  -2.107099999999999973e+00  -4.000000000000000000e+00
1.700000000000000122e-01  9.660000000000000142e+00  6.233999999999999542e-01  3.490400000000000169e+00  -2.112699999999999800e+00  -4.000000000000000000e+00
1.799999999999999933e-01  9.640000000000000568e+00  6.582000000000000073e-01  3.469300000000000050e+00  -2.118100000000000094e+00  -4.000000000000000000e+00
1.900000000000000022e-01  9.619999999999999218e+00  6.927999999999999714e-01  3.447999999999999954e+00  -2.123499999999999943e+00  -4.000000000000000000e+00
2.000000000000000111e-01  9.599999999999999645e+00  7.271999999999999575e-01  3.426800000000000068e+00  -2.128699999999999815e+00  -4.000000000000000000e+00
2.099999999999999922e-01  9.580000000000000071e+00  7.612999999999999767e-01  3.405499999999999972e+00  -2.133799999999999919e+00  -4.000000000000000000e+00
2.200000000000000011e-01  9.560000000000000497e+00  7.953000000000000069e-01  3.384100000000000108e+00  -2.138700000000000045e+00  -4.000000000000000000e+00
2.300000000000000100e-01  9.539999999999999147e+00  8.289999999999999591e-01  3.362699999999999800e+00  -2.143600000000000172e+00  -4.000000000000000000e+00
2.399999999999999911e-01  9.519999999999999574e+00  8.625000000000000444e-01  3.341200000000000170e+00  -2.148299999999999876e+00  -4.000000000000000000e+00
2.500000000000000000e-01  9.500000000000000000e+00  8.958000000000000407e-01  3.319700000000000095e+00  -2.152800000000000047e+00  -4.000000000000000000e+00
2.600000000000000089e-01  9.480000000000000426e+00  9.288999999999999480e-01  3.298200000000000021e+00  -2.157200000000000006e+00  -4.000000000000000000e+00
2.700000000000000178e-01  9.460000000000000853e+00  9.617999999999999883e-01  3.276600000000000179e+00  -2.161500000000000199e+00  -4.000000000000000000e+00
2.800000000000000266e-01  9.439999999999999503e+00  9.943999999999999506e-01  3.254900000000000126e+00  -2.165700000000000180e+00  -4.000000000000000000e+00
2.899999999999999800e-01  9.419999999999999929e+00  1.026899999999999924e+00  3.233299999999999841e+00  -2.169700000000000184e+00  -4.000000000000000000e+00
2.999999999999999889e-01  9.400000000000000355e+00  1.059099999999999930e+00  3.211599999999999788e+00  -2.173599999999999977e+00  -4.000000000000000000e+00
3.099999999999999978e-01  9.380000000000000782e+00  1.091099999999999959e+00  3.189799999999999969e+00  -2.177299999999999791e+00  -4.000000000000000000e+00
3.200000000000000067e-01  9.359999999999999432e+00  1.122900000000000009e+00  3.168000000000000149e+00  -2.180899999999999839e+00  -4.000000000000000000e+00
