S V(S) theta
4.588053794311426348e-01 1.342563955920933694e+00 1.250000000000000000e-01
4.637304350546725407e-01 1.326821043882854712e+00 1.250000000000000000e-01
4.686499595103676974e-01 1.311411123040394644e+00 1.250000000000000000e-01
4.735639028017912255e-01 1.296323499779418853e+00 1.250000000000000000e-01
4.784722152939932527e-01 1.281547935930806403e+00 1.250000000000000000e-01
4.833748477083595341e-01 1.267074624805573979e+00 1.250000000000000000e-01
4.882710590096545067e-01 1.252523771629936666e+00 1.250000000000000000e-01
4.931599640895088510e-01 1.238247523496897040e+00 1.250000000000000000e-01
4.980415055271421032e-01 1.224255597138467655e+00 1.250000000000000000e-01
5.029156276220834165e-01 1.210539365806315049e+00 1.250000000000000000e-01
5.077822746738611670e-01 1.197090552320215329e+00 1.250000000000000000e-01
5.126413899844265432e-01 1.183901212961647964e+00 1.250000000000000000e-01
5.174929192404442713e-01 1.170963716757769557e+00 1.250000000000000000e-01
5.223368108358614759e-01 1.158270729695875412e+00 1.250000000000000000e-01
5.271730131691010346e-01 1.145815203757673872e+00 1.250000000000000000e-01
5.320014746385860471e-01 1.133590363123800238e+00 1.250000000000000000e-01
5.368221436427393911e-01 1.121589691164016189e+00 1.250000000000000000e-01
5.416349685799838332e-01 1.109806918166720946e+00 1.250000000000000000e-01
5.464398978487425840e-01 1.098236009759220533e+00 1.250000000000000000e-01
5.512368798474386322e-01 1.086871155973809122e+00 1.250000000000000000e-01
5.560258629744948555e-01 1.075706760918032856e+00 1.250000000000000000e-01
5.608067963505738440e-01 1.064737432684522922e+00 1.250000000000000000e-01
5.655796328286369912e-01 1.053957970500944086e+00 1.250000000000000000e-01
5.703443264557106485e-01 1.043363358523030415e+00 1.250000000000000000e-01
5.751008312792228461e-01 1.032948759558202534e+00 1.250000000000000000e-01
5.798491013466011701e-01 1.022709507191051692e+00 1.250000000000000000e-01
5.845890907052737617e-01 1.012641098319942756e+00 1.250000000000000000e-01
5.893207534026686512e-01 1.002739186081811562e+00 1.250000000000000000e-01
5.940440434862137575e-01 9.929995731418002070e-01 1.250000000000000000e-01
5.987589150033366669e-01 9.834182053259750145e-01 1.250000000000000000e-01
6.034653220014658537e-01 9.739911655768296317e-01 1.250000000000000000e-01
6.081632192865551456e-01 9.647146677519308211e-01 1.250000000000000000e-01
6.128525655041539011e-01 9.555850474676319539e-01 1.250000000000000000e-01
6.175333205087847332e-01 9.465987596390030845e-01 1.250000000000000000e-01
6.222054441553646065e-01 9.377523754897897357e-01 1.250000000000000000e-01
6.268688962988108182e-01 9.290425778318950334e-01 1.250000000000000000e-01
6.315236367940404438e-01 9.204661565711195204e-01 1.250000000000000000e-01
6.361696254959704477e-01 9.120200044285333707e-01 1.250000000000000000e-01
6.408068222595180163e-01 9.037011128655010328e-01 1.250000000000000000e-01
6.454351869395998920e-01 8.955065682011514872e-01 1.250000000000000000e-01
6.500546793911335941e-01 8.874335479117599901e-01 1.250000000000000000e-01
6.546652602527670561e-01 8.794793165352507991e-01 1.250000000000000000e-01
6.592668940638212183e-01 8.716412185322919282e-01 1.250000000000000000e-01
6.638595465742512802e-01 8.639166779544283914e-01 1.250000000000000000e-01
6.684431835343762618e-01 8.563031972738911479e-01 1.250000000000000000e-01
6.730177706945149607e-01 8.487983544332167174e-01 1.250000000000000000e-01
6.775832738049865078e-01 8.413998000252480569e-01 1.250000000000000000e-01
6.821396586161098119e-01 8.341052545987810429e-01 1.250000000000000000e-01
6.866868908782037817e-01 8.269125060833684149e-01 1.250000000000000000e-01
6.912249363415876591e-01 8.198194073271847238e-01 1.250000000000000000e-01
6.957537607565801308e-01 8.128238737422005533e-01 1.250000000000000000e-01
7.002733306716217854e-01 8.059238804013892921e-01 1.250000000000000000e-01
7.047836165516599971e-01 7.991174560579902275e-01 1.250000000000000000e-01
7.092845900609954235e-01 7.924026840798674698e-01 1.250000000000000000e-01
7.137762228642369200e-01 7.857777023277473516e-01 1.250000000000000000e-01
7.182584866259933420e-01 7.792407012438651304e-01 1.250000000000000000e-01
7.227313530108735451e-01 7.727899220186816853e-01 1.250000000000000000e-01
7.271947936834864956e-01 7.664236548338843047e-01 1.250000000000000000e-01
7.316487803084412711e-01 7.601402371779992784e-01 1.250000000000000000e-01
7.360932845503465050e-01 7.539380522311383004e-01 1.250000000000000000e-01
7.405282780738112747e-01 7.478155273155913108e-01 1.250000000000000000e-01
7.449537333455866772e-01 7.417711316960335921e-01 1.250000000000000000e-01
7.493696267212408557e-01 7.358033712994838105e-01 1.250000000000000000e-01
7.537759357319939735e-01 7.299107904282807757e-01 1.250000000000000000e-01
7.581726379092930124e-01 7.240919722593537333e-01 1.250000000000000000e-01
7.625597107845846212e-01 7.183455375667334719e-01 1.250000000000000000e-01
7.669371318893157818e-01 7.126701434923132794e-01 1.250000000000000000e-01
7.713048787549334762e-01 7.070644823646247135e-01 1.250000000000000000e-01
7.756629289128844640e-01 7.015272805634540365e-01 1.250000000000000000e-01
7.800112598946155051e-01 6.960572974282375203e-01 1.250000000000000000e-01
7.843498492315738035e-01 6.906533242082805168e-01 1.250000000000000000e-01
7.886786752516042887e-01 6.853141822935278071e-01 1.250000000000000000e-01
7.929977201025480982e-01 6.800387183857983242e-01 1.250000000000000000e-01
7.973069670724991509e-01 6.748258066982513181e-01 1.250000000000000000e-01
8.016063994496694933e-01 6.696743498275112838e-01 1.250000000000000000e-01
8.058960005222715051e-01 6.645832778760599746e-01 1.250000000000000000e-01
8.101757535785167885e-01 6.595515476052478121e-01 1.250000000000000000e-01
8.144456419066176123e-01 6.545781416194940139e-01 1.250000000000000000e-01
8.187056487947860228e-01 6.496620675803462808e-01 1.250000000000000000e-01
8.229557575312342887e-01 6.448023574491320575e-01 1.250000000000000000e-01
8.271959514041742345e-01 6.399980667569988846e-01 1.250000000000000000e-01
8.314262144834472235e-01 6.352482731103551439e-01 1.250000000000000000e-01
8.356465345519326071e-01 6.305520716764229094e-01 1.250000000000000000e-01
8.398569004865603649e-01 6.259085776842344684e-01 1.250000000000000000e-01
8.440573011642434897e-01 6.213169275190412177e-01 1.250000000000000000e-01
8.482477254618954188e-01 6.167762781045298404e-01 1.250000000000000000e-01
8.524281622564297001e-01 6.122858063048950417e-01 1.250000000000000000e-01
8.565986004247595487e-01 6.078447083477532820e-01 1.250000000000000000e-01
8.607590288437980686e-01 6.034521992670500712e-01 1.250000000000000000e-01
8.649094363904591409e-01 5.991075123651616874e-01 1.250000000000000000e-01
8.690498119416558698e-01 5.948098986934239329e-01 1.250000000000000000e-01
8.731801451329892494e-01 5.905586257412352991e-01 1.250000000000000000e-01
8.773004291715037484e-01 5.863529731618667418e-01 1.250000000000000000e-01
8.814106583023344488e-01 5.821922354515232101e-01 1.250000000000000000e-01
8.855108267704419056e-01 5.780757231708064658e-01 1.250000000000000000e-01
8.896009288207867849e-01 5.740027625002281919e-01 1.250000000000000000e-01
8.936809586983294196e-01 5.699726948088413847e-01 1.250000000000000000e-01
8.977509106480300316e-01 5.659848762371497699e-01 1.250000000000000000e-01
9.018107789148491760e-01 5.620386772937414621e-01 1.250000000000000000e-01
9.058605577437475187e-01 5.581334824651289495e-01 1.250000000000000000e-01
9.099002413796852817e-01 5.542686898382913618e-01 1.250000000000000000e-01
9.139298259052884843e-01 4.892832962876714209e-01 1.111111111111111049e-01
9.179493105314486812e-01 4.859181827679083243e-01 1.111111111111111049e-01
9.219586933798880057e-01 4.825874342043919296e-01 1.111111111111111049e-01
9.259579725578723775e-01 4.792905565022808068e-01 1.111111111111111049e-01
9.299471461726676047e-01 4.760270662579938472e-01 1.111111111111111049e-01
9.339270753865823727e-01 4.730232832123007491e-01 1.111111111111111049e-01
9.378989992040518420e-01 4.700722470109045537e-01 1.111111111111111049e-01
9.418629171252510535e-01 4.671488424225919700e-01 1.111111111111111049e-01
9.458188189056065953e-01 4.642526950496067006e-01 1.111111111111111049e-01
9.497666947454429520e-01 4.613834376058883469e-01 1.111111111111111049e-01
9.537065340563763982e-01 4.585407108646998853e-01 1.111111111111111049e-01
9.576383271951725007e-01 4.557241618871166189e-01 1.111111111111111049e-01
9.615620666046769127e-01 4.529334428306926452e-01 1.111111111111111049e-01
9.654777447417732805e-01 4.501682127057490823e-01 1.111111111111111049e-01
9.693853540633452504e-01 4.474281372230758946e-01 1.111111111111111049e-01
9.732848870262762464e-01 4.447128886334096309e-01 1.111111111111111049e-01
9.771763360874499149e-01 4.420221455715241388e-01 1.111111111111111049e-01
9.810596937037497911e-01 4.393555929047827102e-01 1.111111111111111049e-01
9.849349523320594102e-01 4.367129215860022229e-01 1.111111111111111049e-01
9.888021044292623074e-01 4.340938285104875005e-01 1.111111111111111049e-01
9.926611429107763396e-01 4.314980160335821213e-01 1.111111111111111049e-01
9.965120629646182504e-01 4.289251901603397532e-01 1.111111111111111049e-01
1.000354860474724328e+00 4.263750617579929458e-01 1.111111111111111049e-01
1.004189531325015761e+00 4.238473471827552963e-01 1.111111111111111049e-01
1.008016071399414404e+00 4.213417681542721560e-01 1.111111111111111049e-01
1.011834476581841669e+00 4.188580516325393632e-01 1.111111111111111049e-01
1.015644742756218744e+00 4.163959296982127078e-01 1.111111111111111049e-01
1.019446865806467484e+00 4.139551394362021020e-01 1.111111111111111049e-01
1.023240841616509078e+00 4.115354228224451516e-01 1.111111111111111049e-01
1.027026666070265160e+00 4.091365266137584888e-01 1.111111111111111049e-01
1.030804335491297907e+00 4.067582018947062950e-01 1.111111111111111049e-01
1.034573848373471883e+00 4.044002023158869141e-01 1.111111111111111049e-01
1.038335203869867662e+00 4.020622853285241161e-01 1.111111111111111049e-01
1.042088401133440811e+00 3.997442128241292525e-01 1.111111111111111049e-01
1.045833439317148006e+00 3.974457510372041980e-01 1.111111111111111049e-01
1.049570317573945255e+00 3.951666704495785387e-01 1.111111111111111049e-01
1.053299035056788568e+00 3.929067456972784034e-01 1.111111111111111049e-01
1.057019590918633734e+00 3.906657554798512733e-01 1.111111111111111049e-01
1.060731984312437426e+00 3.884434824720697788e-01 1.111111111111111049e-01
1.064436214391154989e+00 3.862397132379441489e-01 1.111111111111111049e-01
1.068132280725749617e+00 3.840542378022938075e-01 1.111111111111111049e-01
